model,model_display_name,model_family,literature_alignment_note,test_f1,test_pr_auc,test_roc_auc,test_balanced_accuracy,test_precision,test_recall,cv_mean_f1,cv_mean_pr_auc,selected_as_best,reason
random_forest,Random Forest,bagged tree ensemble,Tree-based ensemble commonly used in water-quality ML studies.,0.6798341867837113,0.740524526766678,0.8516155895456597,0.7602294188095211,0.5995698924731183,0.7849099099099099,0.701847645273217,0.7632266672188206,yes,Best by both held-out test F1 and PR-AUC.
gradient_boosting,Gradient Boosting,boosted tree ensemble,Boosted-tree ensemble commonly used in water-quality and DO/hypoxia ML studies.,0.6586631095301616,0.7370340636043868,0.8479283701575456,0.743686232568316,0.6954616588419406,0.6255630630630631,0.6657673858356126,0.7587671760922136,no,Literature-aligned boosted-tree comparison; not selected unless it improves the main held-out and CV metrics.
decision_tree,Decision Tree,single decision tree,Simple tree baseline related to interpretable tree models.,0.6410198042340086,0.6587458100557848,0.811339087276454,0.7246878322719823,0.5380206343141001,0.7927927927927928,0.6692080833477754,0.682651143437248,no,Comparison model retained for baseline context.
logistic_regression,Logistic Regression,linear,Simple linear supervised baseline.,0.5768890013922289,0.5497965142338974,0.7418609758032426,0.6738090148627537,0.5240285123016786,0.6416103603603603,0.5934217301630019,0.5846786605389427,no,Comparison model retained for baseline context.
majority_class_baseline,Majority Baseline,baseline,Class-balance baseline for interpreting supervised metrics.,0.0,0.335315774568111,0.5,0.5,0.0,0.0,0.0,0.35448092575232504,no,Comparison model retained for baseline context.
