model,split,row_count,unique_site_count,positive_rate_pct,predicted_positive_rate_pct,accuracy,balanced_accuracy,precision,recall,f1,roc_auc,average_precision_pr_auc,fold,fold_count,accuracy_std,balanced_accuracy_std,precision_std,recall_std,f1_std,roc_auc_std,average_precision_pr_auc_std,positive_rate_pct_std,predicted_positive_rate_pct_std
majority_class_baseline,cv_fold_1,10597.0,2526.0,37.09540435972445,0.0,0.6290459564027555,0.5,0.0,0.0,0.0,0.5,0.3709540435972445,1,,,,,,,,,,
logistic_regression,cv_fold_1,10597.0,2526.0,37.09540435972445,40.99273379258281,0.6850995564782486,0.6734031645342098,0.5683701657458563,0.6280844568812007,0.5967371601208459,0.7444003494727494,0.5991981028235919,1,,,,,,,,,,
decision_tree,cv_fold_1,10597.0,2526.0,37.09540435972445,44.99386618854393,0.7402094932528074,0.743509590083913,0.6235318791946308,0.7562961078605953,0.6835268421657662,0.8216110023620018,0.6990490651091695,1,,,,,,,,,,
gradient_boosting,cv_fold_1,10597.0,2526.0,37.09540435972445,31.84863640653015,0.7748419363970935,0.7442656183705372,0.7288888888888889,0.6257949631137115,0.6734191075828087,0.8521895053916483,0.7718719743939573,1,,,,,,,,,,
random_forest,cv_fold_1,10597.0,2526.0,37.09540435972445,45.286401811833535,0.7637067094460697,0.7694925814128093,0.6486768076682642,0.7919104553548715,0.7131729667812142,0.8572182898778302,0.7782695464203844,1,,,,,,,,,,
majority_class_baseline,cv_fold_2,10214.0,2495.0,32.9547679655375,0.0,0.670452320344625,0.5,0.0,0.0,0.0,0.5,0.32954767965537496,2,,,,,,,,,,
logistic_regression,cv_fold_2,10214.0,2495.0,32.9547679655375,39.778735069512436,0.6962012923438418,0.6825746122578173,0.5323652473541718,0.642602495543672,0.5823125588908332,0.7452017251958841,0.5441759549368723,2,,,,,,,,,,
decision_tree,cv_fold_2,10214.0,2495.0,32.9547679655375,44.360681417662036,0.7318386528294498,0.740572298021446,0.5691900242772016,0.7661913250148544,0.6531594276307459,0.8102858487985961,0.6459290369717006,2,,,,,,,,,,
gradient_boosting,cv_fold_2,10214.0,2495.0,32.9547679655375,28.999412570981008,0.7889171725083219,0.7459030589012722,0.7042538825118163,0.6197266785502079,0.6592920353982301,0.8481341599405268,0.7317521983015651,2,,,,,,,,,,
random_forest,cv_fold_2,10214.0,2495.0,32.9547679655375,43.19561386332485,0.7585666731936558,0.7663209541817293,0.6019945602901179,0.7890671420083185,0.6829519156595526,0.8497148722311071,0.7312935372687575,2,,,,,,,,,,
majority_class_baseline,cv_fold_3,10499.0,2488.0,35.90818173159349,0.0,0.6409181826840652,0.5,0.0,0.0,0.0,0.5,0.35908181731593486,3,,,,,,,,,,
logistic_regression,cv_fold_3,10499.0,2488.0,35.90818173159349,41.213448899895226,0.6777788360796266,0.666218134973804,0.5447192049919113,0.6251989389920425,0.5821909349141657,0.7343116003300179,0.5653368047419818,3,,,,,,,,,,
decision_tree,cv_fold_3,10499.0,2488.0,35.90818173159349,42.2706924468997,0.7399752357367368,0.7370179865998274,0.6171698963497071,0.726525198938992,0.6673976608187134,0.8125547878003793,0.6761608186345618,3,,,,,,,,,,
gradient_boosting,cv_fold_3,10499.0,2488.0,35.90818173159349,30.450519097056862,0.7745499571387752,0.7383879821809319,0.7194244604316546,0.610079575596817,0.6602554901679345,0.8440581425738314,0.751381807523825,3,,,,,,,,,,
random_forest,cv_fold_3,10499.0,2488.0,35.90818173159349,43.97561672540242,0.7585484331841128,0.7624134895753878,0.6337448559670782,0.7761273209549071,0.6977465124597592,0.850446895794875,0.7581436816702769,3,,,,,,,,,,
majority_class_baseline,cv_fold_4,10641.0,2544.0,36.24659336528522,0.0,0.6375340663471478,0.5,0.0,0.0,0.0,0.5,0.3624659336528522,4,,,,,,,,,,
logistic_regression,cv_fold_4,10641.0,2544.0,36.24659336528522,40.09021708486045,0.6937317921248003,0.6800999453945533,0.5700890764181903,0.6305418719211823,0.598793549181337,0.7552822973177902,0.6097734101660648,4,,,,,,,,,,
decision_tree,cv_fold_4,10641.0,2544.0,36.24659336528522,51.818438116718355,0.7059486890329856,0.7282181862125222,0.5660137830975698,0.8091781177080632,0.6660975349482445,0.8085969029600676,0.6920375867176203,4,,,,,,,,,,
gradient_boosting,cv_fold_4,10641.0,2544.0,36.24659336528522,30.72079691758293,0.7682548632647308,0.7328412664611268,0.7127561945549098,0.6040964480165932,0.6539433062026382,0.8429161853784592,0.7609945242364221,4,,,,,,,,,,
random_forest,cv_fold_4,10641.0,2544.0,36.24659336528522,44.93938539610939,0.751996992763838,0.7575648493183186,0.6273525721455459,0.77780658542909,0.6945248292626461,0.8460669097108418,0.7649074729431221,4,,,,,,,,,,
majority_class_baseline,cv_fold_5,10418.0,2468.0,35.03551545402189,0.0,0.6496448454597812,0.5,0.0,0.0,0.0,0.5,0.35035515454021887,5,,,,,,,,,,
logistic_regression,cv_fold_5,10418.0,2468.0,35.03551545402189,40.13246304473028,0.7046458053369169,0.6923422066776774,0.5685242764888783,0.6512328767123288,0.6070744477078278,0.7683383934065222,0.604909030026203,5,,,,,,,,,,
