CharacteristicName,derived_characteristic_group,record_count,record_pct,numeric_count,numeric_pct_within_characteristic,missing_result_count,negative_count,non_detect_count,site_count,provider_count,organization_count,unit_count,dominant_unit,dominant_unit_count,dominant_unit_pct,top_units,active_years,all_baseline_years_present,three_year_continuity_candidate,first_date,last_date,min_numeric_value,max_numeric_value,modeling_candidate,candidate_reason
Iron,Metals,35079,1.1141963074202252,35070,99.97434362439066,9,0,5,5388,2,38,4,ug/L,29878,85.17346560620315,"ug/L: 29,878; mg/L: 5,134; ug/l: 59; Missing unit: 8",3,True,True,2021-01-04,2023-12-27,0.006,42700.0,True,candidate after filtering/reviewing dominant unit
Sodium,Major ions / hardness / alkalinity,34851,1.1069544602155785,34847,99.98852256750165,4,0,1,5191,2,33,4,mg/L,34569,99.19084100886631,"mg/L: 34,569; mg/l: 228; ug/L: 50; Missing unit: 4",3,True,True,2021-01-04,2023-12-28,0.5,250000.0,True,candidate after filtering/reviewing dominant unit
Total hardness,Other,31439,0.9985808520477911,31439,100.0,0,0,0,4516,1,31,1,mg/L,31439,100.0,"mg/L: 31,439",3,True,True,2021-01-04,2023-12-28,0.25,10604.499739307,True,Strong 2021-2023 modeling-screening candidate
Copper,Metals,30446,0.9670407017222892,30305,99.53688497668003,141,0,138,4658,2,45,4,ug/L,30298,99.5138934506996,"ug/L: 30,298; Missing unit: 141; ug/l: 6; ppb: 1",3,True,True,2021-01-04,2023-12-27,0.102,890.0,True,candidate after filtering/reviewing dominant unit
Manganese,Metals,30430,0.9665325019184542,30415,99.95070653959908,15,0,15,4900,2,28,5,ug/L,28461,93.52941176470588,"ug/L: 28,461; mg/L: 1,931; ug/l: 22; Missing unit: 15; ppb: 1",3,True,True,2021-01-04,2023-12-27,0.003,19200.0,True,candidate after filtering/reviewing dominant unit
Nitrite,Nitrogen / nitrate / nitrite / ammonia,30364,0.9644361777276353,29854,98.32037939665393,510,0,606,2774,2,38,5,mg/L,28924,95.25754182584639,"mg/L: 28,924; Missing unit: 450; mg/l as N: 431; mg/l asNO2: 431; ug/L: 128",3,True,True,2021-01-04,2023-12-28,0.0,81.0,True,candidate after filtering/reviewing dominant unit
Aluminum,Metals,29636,0.9413130866531486,29635,99.99662572546903,1,0,42,4859,2,30,4,ug/L,27783,93.74746929410178,"ug/L: 27,783; mg/L: 1,839; ug/l: 13; ppb: 1",3,True,True,2021-01-04,2023-12-27,0.009,112000.0,True,candidate after filtering/reviewing dominant unit
Total dissolved solids,Other,29306,0.9308314656990542,29282,99.91810550740463,24,0,18,4424,2,44,6,mg/L,28644,97.74107691257763,"mg/L: 28,644; mg/l: 400; tons/ac ft: 227; Missing unit: 24; tons/day: 8; ppm: 3",3,True,True,2021-01-04,2023-12-28,0.0,610500.0,True,candidate after filtering/reviewing dominant unit
Zinc,Metals,28720,0.9122186478836019,28636,99.7075208913649,84,1,84,4583,2,43,4,ug/L,28630,99.6866295264624,"ug/L: 28,630; Missing unit: 84; ug/l: 5; ppb: 1",3,True,True,2021-01-04,2023-12-27,-0.552978,1973.0,True,candidate after filtering/reviewing dominant unit
Cadmium,Metals,28506,0.9054214755073104,28320,99.3475057882551,186,1,184,4548,2,38,3,ug/L,28318,99.34048972146215,"ug/L: 28,318; Missing unit: 186; ug/l: 2",3,True,True,2021-01-04,2023-12-27,-0.008017,45.442369,True,candidate after filtering/reviewing dominant unit
Lead,Metals,28307,0.8991007404471141,28133,99.38531105380295,174,1,171,4541,2,38,3,ug/L,28120,99.33938601759283,"ug/L: 28,120; Missing unit: 174; ug/l: 13",3,True,True,2021-01-04,2023-12-27,-0.007497,124.0,True,candidate after filtering/reviewing dominant unit
Chromium,Metals,27104,0.8608904676962795,27060,99.83766233766234,44,0,41,4416,2,34,3,ug/L,27053,99.81183589138135,"ug/L: 27,053; Missing unit: 44; ug/l: 7",3,True,True,2021-01-04,2023-12-27,0.08,410.0,True,candidate after filtering/reviewing dominant unit
Enterococcus,Microbiological,26965,0.856475481900464,26721,99.09512330799184,244,0,98,2611,1,44,3,MPN/100mL,20473,75.92434637493047,"MPN/100mL: 20,473; cfu/100mL: 6,294; Missing unit: 198",3,True,True,2021-01-04,2023-12-28,1.0,137000.0,True,candidate after filtering/reviewing dominant unit
Nickel,Metals,25628,0.8140090357925123,25580,99.81270485406587,48,0,45,4390,2,33,4,ug/L,25572,99.78148899641018,"ug/L: 25,572; Missing unit: 48; ug/l: 7; ppb: 1",3,True,True,2021-01-04,2023-12-27,0.1,430.0,True,candidate after filtering/reviewing dominant unit
Fluoride,Other,23829,0.7568683203488283,23321,97.86814385832389,508,0,2,4492,2,25,3,mg/L,23106,96.96588190859876,"mg/L: 23,106; Missing unit: 508; mg/l: 215",3,True,True,2021-01-04,2023-12-27,0.005,50.0,True,candidate after filtering/reviewing dominant unit
Barium,Other,23766,0.7548672836212286,23766,100.0,0,0,0,4058,2,26,3,ug/L,21740,91.47521669612051,"ug/L: 21,740; mg/L: 2,008; ug/l: 18",3,True,True,2021-01-04,2023-12-27,0.001,3740.0,True,candidate after filtering/reviewing dominant unit
Thallium,Other,23607,0.7498170480706194,23547,99.74583809886897,60,2,61,4039,2,26,2,ug/L,23547,99.74583809886897,"ug/L: 23,547; Missing unit: 60",3,True,True,2021-01-04,2023-12-27,-0.024861,75.0,True,candidate after filtering/reviewing dominant unit
Beryllium,Other,23558,0.7482606861713752,23552,99.97453094490194,6,4,7,4103,2,26,3,ug/L,23548,99.95755157483657,"ug/L: 23,548; Missing unit: 6; ug/l: 4",3,True,True,2021-01-04,2023-12-27,-0.029441,42.238372,True,candidate after filtering/reviewing dominant unit
Molybdenum,Other,22501,0.7146877366305338,22496,99.97777876538821,5,0,6,3885,2,22,3,ug/L,22495,99.97333451846585,"ug/L: 22,495; Missing unit: 5; ug/l: 1",3,True,True,2021-01-04,2023-12-27,0.055,502.0,True,candidate after filtering/reviewing dominant unit
Strontium,Other,21916,0.696106681302821,21916,100.0,0,0,0,2579,2,19,3,ug/L,21735,99.1741193648476,"ug/L: 21,735; ug/l: 180; ppb: 1",3,True,True,2021-01-04,2023-12-27,2.0,81388.892,True,candidate after filtering/reviewing dominant unit
"Biochemical oxygen demand, standard conditions",Other,20757,0.6592939580125322,20437,98.45835139952787,320,0,213,2637,1,36,2,mg/L,20558,99.04128727658139,"mg/L: 20,558; Missing unit: 199",3,True,True,2021-01-05,2023-12-27,0.2,6320.0,True,candidate after filtering/reviewing dominant unit
Silver,Metals,20234,0.6426821769246798,20172,99.69358505485816,62,2,63,4125,2,27,2,ug/L,20172,99.69358505485816,"ug/L: 20,172; Missing unit: 62",3,True,True,2021-01-04,2023-12-27,-0.034941,100.0,True,candidate after filtering/reviewing dominant unit
Silica,Other,20218,0.6421739771208448,20218,100.0,0,0,0,2194,2,16,3,mg/L,19993,98.88713027994856,"mg/L: 19,993; mg/l: 224; ug/L: 1",3,True,True,2021-01-04,2023-12-27,0.054,513000.0,True,candidate after filtering/reviewing dominant unit
Vanadium,Other,19950,0.6336616304066106,19950,100.0,0,0,0,1949,2,23,3,ug/L,19907,99.78446115288222,"ug/L: 19,907; ug/l: 42; ppb: 1",3,True,True,2021-01-04,2023-12-27,0.16,427.0,True,candidate after filtering/reviewing dominant unit
Inorganic nitrogen (nitrate and nitrite) ***retired***use Nitrate + Nitrite,Nitrogen / nitrate / nitrite / ammonia,18254,0.5797924512001138,18208,99.7480004382601,46,0,16,4456,1,51,2,mg/L,18217,99.79730470033965,"mg/L: 18,217; Missing unit: 37",2,False,False,2021-01-01,2022-11-17,0.002,27.5149,True,candidate after filtering/reviewing dominant unit; not sampled in all verified baseline years; review before temporal use
Tin,Other,17004,0.5400893415255141,17004,100.0,0,2,1,1809,1,15,1,ug/L,17004,100.0,"ug/L: 17,004",3,True,True,2021-01-04,2023-12-27,-0.07896,1600.0,True,Strong 2021-2023 modeling-screening candidate
Fecal Coliform,E. coli or fecal coliform,13958,0.44334080387044966,13839,99.14744232698094,119,0,73,930,1,28,3,cfu/100mL,9786,70.11033099297894,"cfu/100mL: 9,786; MPN/100mL: 4,093; Missing unit: 79",3,True,True,2021-01-04,2023-12-27,1.0,200000.0,True,candidate after filtering/reviewing dominant unit
Silicon,Other,10378,0.32963109776239624,10378,100.0,0,0,0,557,1,5,2,mg/L,10346,99.69165542493737,"mg/L: 10,346; ug/L: 32",3,True,True,2021-01-04,2023-12-27,0.1,4570.0,True,candidate after filtering/reviewing dominant unit
Volatile suspended solids,Other,5800,0.18422242889014245,5800,100.0,0,0,0,157,2,5,2,mg/L,5567,95.98275862068965,"mg/L: 5,567; mg/l: 233",3,True,True,2021-01-04,2023-12-21,1.1,15100.0,True,candidate after filtering/reviewing dominant unit
